V,Na_i,m,h,j,K_i,r,s,s_slow,r_ss,s_ss,y,Ca_i,Ca_SR,z_1,z_2,z_3,TRPN
-75.39665680166937,13.675553018363713,0.00924435503805998,0.0512415742929621,0.07708730469774402,136.95040558327483,0.003427581538879275,0.5786513758401958,0.22314577245894768,0.011982056899878255,0.24893119381413084,0.002789702105147564,0.0008134782516085196,1.4252429375723175,0.8359436386946697,0.020336801354783007,0.14033314837053987,0.035429663475606596
-76.07140726600402,13.675589568902959,0.008337974822329805,0.06122160530952271,0.07969755216716044,136.95040193420124,0.0032307998145713413,0.5861683615509485,0.2237393722603005,0.009295834996924662,0.2489279018180584,0.002789529360700143,0.0008003263144385053,1.429779611515823,0.8376666144855406,0.01987986276263577,0.13917412025218276,0.03566065210469905
-76.67744174275077,13.675625967173417,0.007599468485510794,0.07241799802995175,0.0826854143514381,136.9504006773402,0.003063728938908217,0.5935983891573671,0.22433831450933253,0.007378975044845164,0.24893012246484375,0.0027894404077528946,0.0007874375083085431,1.4343165491066463,0.8393628472106672,0.019441413587315087,0.1380190361312397,0.03589350923731218
-77.21987456366887,13.675662029677303,0.006993827696385943,0.08477369564494114,0.08605039999032726,136.95040170591054,0.002921548907566038,0.6009380724394301,0.22494242715299706,0.00604037004449425,0.24893742907852232,0.002789435634013927,0.0007748065952384103,1.438851192547984,0.841032555438315,0.019020916530170913,0.13686831906538915,0.03612797744268221
-77.70408330258607,13.6756975933282,0.00649389480261997,0.09820243841533656,0.08978284827308744,136.95040489283684,0.0028002262856263705,0.6081841949275846,0.22555146435966128,0.0051195283177800435,0.24894939387131101,0.002789514145910277,0.0007624287068168341,1.4433811314657072,0.842676071606659,0.01861779537153946,0.13572233283976226,0.036363819465072555
-78.13550859480964,13.675732515191516,0.006078517337476263,0.11259564796019945,0.0938655772222365,136.95041009875808,0.002696390102649974,0.6153338045526715,0.22616512996890042,0.004490458162956202,0.2489655998148592,0.0027896739571763333,0.0007502992744308772,1.4479040861222272,0.844293813063528,0.018231447827033044,0.1345813938399366,0.036600815975519216
-78.51949251547532,13.675766671726294,0.00573113168877865,0.1278296633271476,0.09827585261190204,136.95041717876478,0.002607223514921637,0.6223842836427634,0.2267830977506303,0.004059644087941467,0.2489856494167979,0.002789912211332808,0.000738413972256433,1.452417894504273,0.8458862590020839,0.017861256247958597,0.13344577989995843,0.03683876365123522
-78.86115491597258,13.67579995763986,0.005438703226975218,0.14377264769741266,0.10298735918899651,136.95042598783118,0.0025303735760247425,0.6293333930727811,0.2274050281987636,0.0037608475721905878,0.24900917070651657,0.002790225413891214,0.000726768670471935,1.4569205021700404,0.8474539319051171,0.01750659652532716,0.13231573701737712,0.03707747349728127
-79.16530598193302,13.675832284494863,0.005190918319274646,0.16029062935840527,0.10797194461968411,136.95043638493914,0.002463874602822741,0.6361792927514226,0.22803058170478754,0.003548920180120458,0.24903582080275033,0.0027906096525581094,0.000715359397233801,1.4614099543165375,0.8489973827561039,0.017166845368273887,0.13119148444428588,0.03731676938744031
-79.43639029584479,13.675863579177253,0.004979579322318875,0.17725242367776062,0.1132010324334749,136.9504482360262,0.002406084801928949,0.6429205427944957,0.22865942839375106,0.0033940043199144907,0.24906528754958335,0.0027910607920780244,0.0007041823076563704,1.4658843895290408,0.8505171792652403,0.016841386179438162,0.1300732186069839,0.0375564867893107
